Key,Value,,,,,,,,,,
Title,2014 Thanksgiving Monastic Retreat,,,,,,,,,,
Subtitle,,,,,,,,,,,
Code,TG2014,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,
Teachers,"AP,AKd,AÑ,DS",,,,,,,,,,
Start date,21/11/2014,,,,,,,,,,
End date,30/11/2014,,,,,,,,,,
Format,Multiday event,,,,,,,,,,
Medium,In-person,,,,,,,,,,
Tags,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/index.html#/,,,,,,,,,,
Sessions,7,,,,,,,,,,
Questions,122,,,,,,,,,,
Answers listened to,3,,,,,,,,,,
Tags applied,164,,,,,,,,,,
Invalid tags,0,,,,,,,,,,
Duration,8:10:22,,,,,,,,,,
<---->,,,,,,,,,,,
Session #,Date,Filename,Duration,Session title,Remote mp3 URL,Questions,Tags,Tags 2,Tags 3,Teachers,Seconds
1,22/11/2014,AP_11_22_2014_TMR_Questions_and_Answers_1.mp3,00:55:13,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_22_2014_TMR_Questions_and_Answers_1.mp3,10,,,,AP,3313
2,23/11/2014,AP_11_23_2014_TMR_Questions_and_Answers_2.mp3,00:59:07,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_23_2014_TMR_Questions_and_Answers_2.mp3,15,,,,AP,3547
3,24/11/2014,AP_11_24_2014_TMR_Questions_and_Answers_3.mp3,01:15:26,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_24_2014_TMR_Questions_and_Answers_3.mp3,18,,,,AP,4526
4,25/11/2014,AP_11_25_2014_TMR_Questions_and_Answers_4.mp3,01:10:29,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_25_2014_TMR_Questions_and_Answers_4.mp3,20,,,,AP,4229
5,26/11/2014,AP_11_26_2014_TMR_Questions_and_Answers_5.mp3,01:24:46,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_26_2014_TMR_Questions_and_Answers_5.mp3,19,,,,AP,5086
6,27/11/2014,AP_11_27_2014_TMR_Questions_and_Answers_6.mp3,01:06:27,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_27_2014_TMR_Questions_and_Answers_6.mp3,22,,,,AP,3987
7,28/11/2014,AP_11_28_2014_TMR_Questions_and_Answers_7.mp3,01:18:54,,https://www.abhayagiri.org/media/discs/2014ThanksgivingRetreat/Audio/AP_11_28_2014_TMR_Questions_and_Answers_7.mp3,18,,,,AP,4734
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
<---->,,,,,,,,,,,
Session #,Start time,End time,Teachers,Question text,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,AListen?
1,0:19,,AP,"In what cases, if any, is it useful to try to assess whether stream entry has occurred? Or is this question best left aside?",Stream entry,,,,,,
1,5:17,,AP,"How should I repay your kindness, the immense kindness of the Buddha?",Gratitude,,,,,,
1,8:21,,AP,Is walking meditation as “good” as sitting meditation. Can one achieve the level of undistractedness that one needs to be able to investigate the human experience? Or is it part of the bigger picture of mindfulness / or seven full days to experience stream entry?,Posture/Walking,,,,,,
1,17:16,,AP,"Thank you for your talk on mindfulness today—very helpful. I've been practicing for a long time (and have even had a few insights that made big impressions on me) and while my sila has definitely improved, my mindfulness is a priority and I might have a tad more wisdom, my mind looks for ways to suffer. Sometimes I feel like a total failure as a Buddhist. I understand that letting go of identity view is the answer, but how? What am I missing?",Long-term practice,,,,,,
1,22:44,,AP,"In your ānāpānasati talks, you talk about sikkhita, defined as…to train, and to learn from. I'm not sure how active to be because when I train, I have a goal in mind, but when I learn from…I'm more relaxed and open to what is revealed. Similar, today with mindfulness defined as…looking after something, I'm not sure how to point the compass without coming from self view. Thank you.",Right mindfulness,,,,,,
1,29:26,,AP,"It appears that walking is far more comfortable than sitting these days, but I have never found it to be that settling for my mind. Please offer some advice on how to get “the most” out of walking meditation.",Posture/Walking,,,,,,
1,36:36,,AP,In the context of deep love—like between spouses or between parent and child—what is the application of the concept of non-attachment? What does it mean?,Family,Relinquishment,,,,,
1,39:46,,AP,"A scientist—popular, interesting—said as parting shot to his audience, “don't trust the senses,” i.e., we'd still think the world flat, and that the sun actually rises and sets, if we trusted the sensory world. Your thoughts on clear comprehension via “sense-doors?” The “just-rightness” of it all. I wonder if we still thought the world flat and the sun to rise whether we might care for it.",Six sense bases,,,,,,
1,44:13,,AP,How does one work with the vedanā and neutral sensations?,Mindfulness of feeling,,,,,,
1,50:37,,AP,"If unwholesome thoughts arise and it creates fear and a repeating pattern, what is the best method for breaking the patterns? For instance, mettā meditation replacing the fear or attention with something else? Thank for the inspiration.",Fear,Goodwill,,,,,
2,0:12,,AP,"On “The Discourse on Setting in Motion the Wheel of The Dhamma,” toward the end it says, “my knowledge and vision of reality of regarding the Four Noble Truths, in their three phases and twelve aspects.” What are the “three phases and twelve aspects?” Thanks for your teachings.",Four Noble Truths,,,,,,
